chi_density_sum_squares,4.6364385408364735e-07
chi_gradient,1.0728516739926715
chi_intercept,17.50154280545544
cumarea95,3817602.1582914246
cumarea96,11715164.277890647
cumarea97,41983298.312061034
cumarea98,1155660155.933027
cumarea99,26439028342.667072
elev02,0.003188711972277277
elev08,0.00044953185349253807
elev100,0.030410821762933873
elev23,0.0003865017079199789
elev30,0.0011603877711771479
elev36,0.0017900916322680723
elev50,0.0009936496110358592
elev75,0.0008278049828674123
elev85,0.0008751636778088805
elev90,0.0009837722240140735
elev96,0.001168523393484209
four_cell_nodes,9117.026510025065
hypsometric_integral,2.519764426978304e-08
mean_elevation,9.484397471174237e-07
mean_elevation_chi_area,2.8612661485615045e-06
mean_gradient,3.4591610075455015e-10
mean_gradient_chi_area,2.0372625059865175e-09
one_cell_nodes,5870.014411027568
three_cell_nodes,9625.199993734339
two_cell_nodes,8078.811873433585
var_elevation,0.14091706329454365
var_elevation_chi_area,0.015020006246304195
var_gradient,4.469862707926295e-11
var_gradient_chi_area,1.795033120830868e-10
